Similarity,Ground Truth
0.18688004,0.0
0.5606232,1.0
1.0602225,1.0
0.3533932,0.0
0.23944063,0.0
0.9685881,1.0
0.913555,1.0
0.39514273,0.0
0.29092404,0.0
0.5169708,0.0
0.8925365,1.0
0.13358599,0.0
0.25358012,0.0
0.99561846,1.0
0.29172423,0.0
0.8218001,1.0
0.45571655,0.0
0.72246045,1.0
0.79409117,1.0
0.55622244,0.0
0.075466245,0.0
-0.29180136,0.0
0.71767855,1.0
0.60628307,0.0
0.72868687,1.0
0.7892477,1.0
0.8511637,1.0
0.18698697,0.0
0.65646917,1.0
0.26691848,0.0
0.5151268,0.0
0.6766711,1.0
0.7407819,1.0
0.38286898,1.0
-0.17458093,0.0
0.56966794,1.0
0.4170245,0.0
-0.10461142,0.0
0.50157154,0.0
0.33221367,0.0
0.7700937,0.0
-0.056705162,0.0
0.075544134,0.0
0.883937,1.0
0.05527567,0.0
0.70278573,1.0
0.43021774,0.0
0.19134963,0.0
0.16034882,0.0
-0.011483153,0.0
0.7248114,1.0
0.41010338,0.0
0.7081991,1.0
0.18651266,0.0
0.45672345,0.0
0.79326254,1.0
0.3580831,0.0
0.040756576,0.0
0.72757393,1.0
0.4422679,0.0
0.42734975,0.0
0.4405817,1.0
0.48566824,1.0
0.07277255,0.0
0.17865019,1.0
0.40177417,0.0
0.6597672,0.0
1.0081019,1.0
0.7039971,0.0
0.33107167,0.0
0.38856852,0.0
-0.052289087,0.0
0.74294305,1.0
0.18582754,0.0
0.8317282,1.0
0.41555017,0.0
0.80807424,1.0
0.6795465,0.0
0.5680021,1.0
0.7213205,1.0
0.22472893,0.0
0.5211944,1.0
0.76519287,1.0
0.51696336,0.0
0.4307529,0.0
0.8839221,1.0
0.24483109,0.0
0.5790936,1.0
0.70257735,1.0
-0.18740717,0.0
0.318204,0.0
0.23705731,0.0
0.6286004,1.0
0.51791203,0.0
0.31790718,0.0
0.3581751,0.0
0.32989043,0.0
0.29077888,1.0
0.68007267,1.0
0.00064645335,0.0
0.49843004,1.0
0.46391648,1.0
0.29756248,0.0
0.3020875,0.0
0.40187183,1.0
0.3238455,0.0
0.86642325,1.0
0.9330117,1.0
0.8905864,1.0
0.5540105,1.0
0.74367666,1.0
0.5291906,0.0
0.5864626,1.0
0.3741373,0.0
0.40042177,0.0
0.6996041,1.0
-0.06693425,0.0
0.9016933,1.0
0.82477504,1.0
0.11692464,0.0
0.39657545,0.0
0.24200946,0.0
0.22005425,0.0
-0.026662353,0.0
0.45354208,1.0
0.67001694,1.0
0.80514896,1.0
0.74552023,1.0
0.61030495,0.0
0.5716614,1.0
