Similarity,Ground Truth
0.66736996,0.0
0.78033173,1.0
0.0012263171,0.0
0.8000926,1.0
0.5975969,1.0
0.83129704,1.0
0.019890495,0.0
0.44021508,0.0
0.5051216,1.0
0.66594833,1.0
0.36431342,0.0
0.6492812,0.0
0.9269613,1.0
0.78453994,1.0
0.63814163,0.0
0.2730678,0.0
0.48476946,1.0
-0.023224533,0.0
0.55764073,1.0
0.1786974,0.0
0.6953233,1.0
0.7002251,1.0
0.27385578,0.0
0.33904275,0.0
0.6501219,1.0
0.22407559,0.0
1.0481216,1.0
0.7343864,1.0
0.6167534,0.0
0.082145564,0.0
0.32641646,0.0
0.15999681,0.0
0.6704972,1.0
0.7943871,0.0
0.59408635,0.0
0.8018656,0.0
0.7732804,1.0
0.20565434,0.0
0.8214236,0.0
0.8159484,1.0
0.07062449,0.0
-0.03211489,0.0
-0.04617688,0.0
0.16783814,1.0
0.09398283,0.0
0.5419284,1.0
0.54195285,0.0
0.10794127,0.0
0.702426,1.0
0.6436317,1.0
0.5962738,1.0
0.634612,1.0
0.65325695,1.0
0.39055198,0.0
0.36374286,0.0
0.2203112,0.0
0.6786722,1.0
0.34328768,0.0
0.657143,1.0
0.5309529,0.0
0.24992508,0.0
0.6531194,1.0
0.61096334,1.0
0.27267683,0.0
0.11224717,0.0
0.53916854,1.0
0.5904996,1.0
0.3262829,0.0
0.64894795,1.0
0.8883078,1.0
0.7705705,1.0
0.51215196,0.0
0.2639007,0.0
0.4867162,1.0
0.9388402,1.0
0.7395462,1.0
0.5587363,0.0
0.33722243,0.0
0.34997773,0.0
0.854156,1.0
0.3818626,0.0
0.22353011,0.0
0.6303703,1.0
0.6641091,1.0
0.68201923,1.0
0.64434105,0.0
0.6117832,1.0
0.5329206,1.0
0.48734397,1.0
0.91210395,1.0
0.73373693,1.0
0.10296387,0.0
0.4765702,1.0
0.7647247,1.0
0.33410183,0.0
0.18976831,0.0
0.7040454,1.0
0.24438673,0.0
0.69971216,1.0
0.37529826,0.0
0.4795859,0.0
0.59154546,1.0
0.49432936,0.0
0.31308693,0.0
0.58898616,1.0
0.7283305,0.0
0.38675836,0.0
0.24885803,0.0
0.6089692,1.0
0.5314683,1.0
0.4876596,0.0
-0.18066792,0.0
0.08931449,0.0
0.6610322,1.0
0.62757593,1.0
0.5538341,1.0
0.6944419,0.0
0.242522,0.0
0.40966403,1.0
0.255127,0.0
0.4696613,1.0
0.69389033,0.0
0.37273657,0.0
0.4597534,0.0
0.6890986,1.0
0.8172114,1.0
0.6910944,1.0
0.3521017,0.0
0.6353464,1.0
0.2817009,0.0
0.6640482,1.0
0.40265328,0.0
0.72401404,1.0
0.03170619,0.0
0.41657633,0.0
0.80967355,1.0
-0.10052923,0.0
0.5472615,0.0
0.38232413,1.0
0.6143923,0.0
0.21675368,0.0
0.93712175,1.0
0.7573643,1.0
1.0011816,1.0
0.41287914,0.0
0.6178831,1.0
0.5191951,0.0
0.7901562,1.0
0.8924774,1.0
0.49351814,0.0
0.67140585,1.0
0.52560025,1.0
0.7283947,1.0
0.7305532,1.0
0.537804,1.0
0.08950548,0.0
0.14967301,0.0
0.73415697,1.0
0.698486,1.0
0.49570286,1.0
0.2636997,0.0
0.7740827,1.0
0.5360326,0.0
0.6999601,1.0
0.8433578,1.0
0.8733252,1.0
0.6954896,1.0
0.64711696,1.0
0.38583657,0.0
0.7285984,1.0
0.80880326,1.0
0.7042744,0.0
0.3820897,0.0
0.53777057,1.0
0.07870622,0.0
0.4584291,1.0
0.7470085,1.0
0.6266514,0.0
0.04444115,0.0
0.35060394,0.0
0.87238574,1.0
0.7650577,1.0
0.62902004,1.0
0.26331174,0.0
0.357056,0.0
0.8034324,1.0
0.4423838,0.0
0.2965178,0.0
0.87046313,1.0
0.122885965,0.0
0.19836578,0.0
0.007416591,0.0
0.6061981,1.0
0.5040841,1.0
1.0143031,1.0
0.56963134,1.0
0.99932295,1.0
0.52957934,0.0
0.76844984,1.0
0.7955953,1.0
0.3219127,1.0
